id,credito,enganche,precio base,monto contrato,precio venta credito,dif,BASE,VENTA
143,890263.94,402736.06,1208000,1293000,1208000,-85000.00,1293000.00,1293000.00
1104,0,1597000,1537000,1597000,1537000,-60000.00,1597000.00,1597000.00
846,1191250,123750,1279000,1315000,1269000,-46000.00,1325000.00,1315000.00
947,1262000,10000,1236000,1272000,1226000,-46000.00,1282000.00,1272000.00
1027,1138384,123616,1236000,1262000,1216000,-46000.00,1282000.00,1262000.00
1042,0,2554399.2,2230000,2554399.2,2508399.2,-46000.00,2276000.00,2554399.20
1061,0,1412500,1334000,1412500,1366500,-46000.00,1380000.00,1412500.00
1067,1256850,113150,1334000,1370000,1324000,-46000.00,1380000.00,1370000.00
1199,0,2000705.61,1784000,2000705.61,1954705.61,-46000.00,1830000.00,2000705.61
1138,973149,790851,1752000,1764000,1724000,-40000.00,1792000.00,1764000.00
1146,1648907.31,75142.69,1655000,1724050,1689050,-35000.00,1690000.00,1724050.00
1239,1850000,0,1830000,1850000,1815000,-35000.00,1865000.00,1850000.00
1275,616120,1083880,1690000,1700000,1665000,-35000.00,1725000.00,1700000.00
1313,0,1625000,1690000,1625000,1590000,-35000.00,1725000.00,1625000.00
1334,975337.47,789662.53,1830000,1765000,1730000,-35000.00,1865000.00,1765000.00
1373,1825794.07,39205.93,1830000,1865000,1830000,-35000.00,1865000.00,1865000.00
1210,1861102,-10000,1791102,1851102,1816722,-34380.00,1825482.00,1851102.00
1318,0,1872000,1850000,1872000,1840000,-32000.00,1882000.00,1872000.00
1350,1016400,649600,1710000,1666000,1634000,-32000.00,1742000.00,1666000.00
1358,1671421.39,221578.61,1871000,1893000,1861000,-32000.00,1903000.00,1893000.00
204,1269318,494200.64,1647000,1763518.64,1733518.64,-30000.00,1677000.00,1763518.64
1222,0,1758000,1731000,1758000,1731000,-27000.00,1758000.00,1758000.00
1257,1515790.9,227209.1,1731000,1743000,1716000,-27000.00,1758000.00,1743000.00
1340,1252520,164480,1395000,1417000,1390000,-27000.00,1422000.00,1417000.00
1179,995809.79,1258527.87,1944000,2254337.66,2227337.66,-27000.00,1971000.00,2254337.66
834,0,1349000,1334000,1349000,1324000,-25000.00,1359000.00,1349000.00
949,1336672.73,6716.94,1250000,1343389.67,1318389.67,-25000.00,1275000.00,1343389.67
1033,832134,1701983.31,2176000,2534117.31,2509117.31,-25000.00,2201000.00,2534117.31
1044,0,1557000,1552000,1557000,1532000,-25000.00,1577000.00,1557000.00
1081,863273,1200561.17,1712000,2063834.17,2038834.17,-25000.00,1737000.00,2063834.17
1105,1432305,274695,1752000,1707000,1682000,-25000.00,1777000.00,1707000.00
1122,1380400,1600,1367000,1382000,1357000,-25000.00,1392000.00,1382000.00
1131,1048696.52,1241104.96,2176000,2289801.48,2264801.48,-25000.00,2201000.00,2289801.48
